newStory*************************************
newScene0*************************************

1	او	PR	SBJ	5	يوسف§n-23957	نفر§n-13075	role	Arg0		1+||| ROLE	
33	شاه	N	POSDEP	32	سلطان§n-13386	نفر§n-13075	role		||| %%%%
34	برويم	V	PRD	31	پوييدن§v-7700	رخداد§n-13136	role_action		16||| %%%%
35	،	PUNC	PUNC	13	null	null	junk		||| %%%%

1	تا	SUBR	ROOT	0	null	null	junk	ArgM_DIS		||| %%%%
2	او	PR	SBJ	5	حضرت الياس§n-23959	نفر§n-13075	role	Arg0	Arg0		16-||| %%%%
3	به	PREP	VPP	5	null	null	junk	Arg3		||| %%%%
4	ما	PR	POSDEP	3	سلطان§n-13386	نفر§n-13075	role		*-1||| %%%%
5	بپيوندد	V	VCONJ	17	پيوستن§v-7523	رخداد§n-13136	role_action		2||| %%%%
6	و	CONJ	VCONJ	17	null	null	junk		||| %%%%
7	ما	PR	PREDEP	8	سلطان§n-13386	نفر§n-13075	role		*-1||| %%%%
8	را	POSTP	OBJ	17	null	null	junk	Arg1		||| %%%%
9	به	PREP	NPP	16	null	null	junk	Arg3		||| %%%%
10	آنچه	PR	POSDEP	9	null	null	junk	Arg1		11||| %%%%
11	که	SUBR	NCL	10	null	null	junk		||| %%%%
12	مورد	PREP	MOS	15	null	null	junk	Arg2		||| %%%%
13	خشنودي	N	POSDEP	12	سلوت§n-12412	مشخصه§n-12756	role_state		2||| %%%%
14	خداوند	N	MOZ	13	باري تعالي§n-11940	خصوصيت_رواني§n-12725	no		||| %%%%
15	است	V	PRD	11	null	null	junk		||| %%%%
16	فرمان	N	NVE	17	امر§n-11505	رخداد§n-13136	role_intent		2||| %%%%
17	دهد	V	PRD	1	فرمان دادن§v-19253	رخداد§n-13136	role_action		2||| %%%%
18	،	PUNC	PUNC	17	null	null	junk		||| %%%%

1	و	CONJ	VCONJ	6	null	null	junk	ArgM_DIS		||| %%%%
2	به	PREP	VPP	6	null	null	junk	Arg3		||| %%%%
3	قوم	N	VPP	6	قوم§n-13461	گروه§n-12753	role	Arg3		||| %%%%
4	ش	PR	MOZ	3	حضرت الياس§n-23959	نفر§n-13075	role		16--||| %%%%
5	دستور	N	NVE	6	امر§n-11505	رخداد§n-13136	role_intent		4||| %%%%
6	دهد	V	ROOT	0	فرمان دادن§v-19253	رخداد§n-13136	role_action		4||| %%%%
7	که	SUBR	VCL	6	null	null	junk	Arg1		||| %%%%
8	از	PREP	VPP	11	null	null	junk	Arg3		||| %%%%
9	بت‌پرستي	N	VPP	11	بت‌پرستي§n-20270	رخداد§n-13136	role_intent	Arg3		3||| %%%%
10	دست	N	NVE	11	دست§n-13548	مشخصه§n-12756	no		||| %%%%
11	بردارند	V	VCONJ	20	منصرف شدن§v-8543	رخداد§n-13136	role_action		3||| %%%%
12	،	PUNC	PUNC	11	null	null	junk		||| %%%%
13	و	CONJ	VCONJ	20	null	null	junk		||| %%%%
14	به‌سوي	PREP	NPP	19	null	null	no		||| %%%%
15	خداي	N	POSDEP	14	باري تعالي§n-11940	خصوصيت_رواني§n-12725	no		||| %%%%
16	يکتا	ADJ	NPOSTMOD	15	بي نظير§a-1870	مشخصه§n-12756	no		||| %%%%
17	و	CONJ	AJCONJ	16	null	null	junk		||| %%%%
18	بي‌همتا	ADJ	AJCONJ	16	بي نظير§a-1870	مشخصه§n-12756	no		||| %%%%
19	جذب	N	MOS	20	null	null	role_intent	Arg2		3||| %%%%
20	گردند	V	PRD	7	جذب کردن§v-9664	رخداد§n-13136	role_action		3||| %%%%
21	.	PUNC	PUNC	6	null	null	junk		||| %%%%

1	زماني	N	ADVRB	14	زمان§n-12679	اندازه§n-12768	time	ArgM_TMP		tim||| %%%%
2	که	SUBR	NCL	1	null	null	junk		||| %%%%
3	الياس	N	SBJ	7	حضرت الياس§n-23959	نفر§n-13075	role	Arg0	Arg0	Arg0		||| %%%%
4	صداي	N	OBJ	7	صدا§n-13148	خبر§n-12766	no	Arg1		||| %%%%
5	او	PR	MOZ	4	منشي§n-12055	نفر§n-13075	role		*-8||| %%%%
6	را	POSTP	OBJ	7	null	null	junk	Arg1		||| %%%%
7	شنيد	V	PRD	2	شنيدن§v-7802	رخداد§n-13136	role_action		3||| %%%%
8	به	PREP	ADVRB	14	null	null	junk	ArgM_CAU		||| %%%%
9	اذن	N	ADVRB	14	رخصت§n-13708	خبر§n-12766	no	ArgM_CAU		||| %%%%
10	خداوند	N	MOZ	9	باري تعالي§n-11940	خصوصيت_رواني§n-12725	no		||| %%%%
11	به	PREP	VPP	14	null	null	junk	Arg4		||| %%%%
12	استقبال	N	VPP	14	استقبال§n-14524	خبر§n-12766	role_intent	Arg4		3||| %%%%
13	ش	PR	MOZ	12	منشي§n-12055	نفر§n-13075	role		*-8||| %%%%
14	رفت	V	ROOT	0	پوييدن§v-7700	رخداد§n-13136	role_action		3||| %%%%
15	تا	SUBR	AJUCL	14	null	null	junk	ArgM_PRP		||| %%%%
16	از	PREP	NPP	18	null	null	junk	Arg3		||| %%%%
17	او	PR	POSDEP	16	منشي§n-12055	نفر§n-13075	role		*-8||| %%%%
18	احوال‌پرسي	N	NVE	19	سلام و احوالپرسي§n-11462	خبر§n-12766	role_intent		3||| %%%%
19	نمايد	V	AJUCL	14	احوالپرسي کردن§v-9959	رخداد§n-13136	role_action		3||| %%%%
20	.	PUNC	PUNC	14	null	null	junk		||| %%%%
roles= [
	[16	الياس	N	POSDEP	15	حضرت الياس§n-23959	نفر§n-13075	role		||| %%%%]
			[3	الياس	N	SBJ	7	حضرت الياس§n-23959	نفر§n-13075	role	Arg0	Arg0	Arg0		||| %%%%]
	[20	او	PR	POSDEP	19	حضرت الياس§n-23959	نفر§n-13075	role		16||| %%%%]
			[2	او	PR	SBJ	5	حضرت الياس§n-23959	نفر§n-13075	role	Arg0	Arg0		16-||| %%%%]
	[29	ما	PR	POSDEP	28	منشي§n-12055	نفر§n-13075	role		*-8||| %%%%]
	[33	شاه	N	POSDEP	32	سلطان§n-13386	نفر§n-13075	role		||| %%%%]
	[4	ما	PR	POSDEP	3	سلطان§n-13386	نفر§n-13075	role		*-1||| %%%%]
			[7	ما	PR	PREDEP	8	سلطان§n-13386	نفر§n-13075	role		*-1||| %%%%]
	[3	قوم	N	VPP	6	قوم§n-13461	گروه§n-12753	role	Arg3		||| %%%%]
	[4	ش	PR	MOZ	3	حضرت الياس§n-23959	نفر§n-13075	role		16--||| %%%%]
	[5	او	PR	MOZ	4	منشي§n-12055	نفر§n-13075	role		*-8||| %%%%]
			[17	او	PR	POSDEP	16	منشي§n-12055	نفر§n-13075	role		*-8||| %%%%]
	[13	ش	PR	MOZ	12	منشي§n-12055	نفر§n-13075	role		*-8||| %%%%]]
DynamicObjects= []
StaticObjects= []
location= []
alternativeLocations= [
	[15	به‌سراغ	PREP	VPP	17	null	null	location	Arg4		loc||| %%%%]
	[28	نزد	PREP	VPP	30	محضر§n-10120	جا§n-12733	location	Arg4		||| %%%%]
			[32	نزد	PREP	VPP	34	محضر§n-10120	جا§n-12733	location	Arg4		||| %%%%]]
time= []
alternativeTimes= [
	[23	اکنون	ADV	ADVRB	26	اکنون§n-12609	مشخصه§n-12756	time	ArgM_TMP		tim||| %%%%]
	[1	زماني	N	ADVRB	14	زمان§n-12679	اندازه§n-12768	time	ArgM_TMP		tim||| %%%%]]
scene_goals= []
scene_emotions= []
role_actions= [
	[17	رفته	V	PREDEP	18	پوييدن§v-7700	رخداد§n-13136	role_action		*-8||| %%%%]
	[21	بگويد	V	PRD	14	گفتن§v-9244	رخداد§n-13136	role_action		*-8||| %%%%]
	[30	بيا	V	VCL	26	آمدن§v-7847	رخداد§n-13136	role_action		16||| %%%%]
	[34	برويم	V	PRD	31	پوييدن§v-7700	رخداد§n-13136	role_action		16||| %%%%]
	[5	بپيوندد	V	VCONJ	17	پيوستن§v-7523	رخداد§n-13136	role_action		2||| %%%%]
	[17	دهد	V	PRD	1	فرمان دادن§v-19253	رخداد§n-13136	role_action		2||| %%%%]
	[6	دهد	V	ROOT	0	فرمان دادن§v-19253	رخداد§n-13136	role_action		4||| %%%%]
	[11	بردارند	V	VCONJ	20	منصرف شدن§v-8543	رخداد§n-13136	role_action		3||| %%%%]
	[20	گردند	V	PRD	7	جذب کردن§v-9664	رخداد§n-13136	role_action		3||| %%%%]
	[7	شنيد	V	PRD	2	شنيدن§v-7802	رخداد§n-13136	role_action		3||| %%%%]
	[14	رفت	V	ROOT	0	پوييدن§v-7700	رخداد§n-13136	role_action		3||| %%%%]
	[19	نمايد	V	AJUCL	14	احوالپرسي کردن§v-9959	رخداد§n-13136	role_action		3||| %%%%]]
role_states= [
	[13	خشنودي	N	POSDEP	12	سلوت§n-12412	مشخصه§n-12756	role_state		2||| %%%%]]
role_intents= [
	[25	توبه	N	MOZ	24	استغفار§n-17529	مشخصه§n-12756	role_intent		*-1||| %%%%]
	[16	فرمان	N	NVE	17	امر§n-11505	رخداد§n-13136	role_intent		2||| %%%%]
	[5	دستور	N	NVE	6	امر§n-11505	رخداد§n-13136	role_intent		4||| %%%%]
	[9	بت‌پرستي	N	VPP	11	بت‌پرستي§n-20270	رخداد§n-13136	role_intent	Arg3		3||| %%%%]
	[19	جذب	N	MOS	20	null	null	role_intent	Arg2		3||| %%%%]
	[12	استقبال	N	VPP	14	استقبال§n-14524	خبر§n-12766	role_intent	Arg4		3||| %%%%]
	[18	احوال‌پرسي	N	NVE	19	سلام و احوالپرسي§n-11462	خبر§n-12766	role_intent		3||| %%%%]]
role_emotions= []
dynamic_object_actions= []
dynamic_object_states= []
static_object_states= []

newScene12*************************************

1	مرگ	N	SBJ	10	درگذشت§n-11584	رخداد§n-13136	role_state	Arg0		2||| %%%%
2	پسر	N	MOZ	1	پسر§n-13367	نفر§n-13075	role		||| %%%%
3	تا	PREP	ADVRB	10	null	null	junk	ArgM_EXT		tim||| %%%%
4	مدتي	N	ADVRB	10	مدت§n-12613	دوره_زماني§n-12603	time	ArgM_EXT		||| %%%%
5	شاه	N	OBJ	10	سلطان§n-13386	نفر§n-13075	role	Arg1		||| %%%%
6	را	POSTP	OBJ	10	null	null	junk	Arg1		||| %%%%
7	از	PREP	AJPP	9	null	null	junk		||| %%%%
8	او	PR	POSDEP	7	منشي§n-12055	نفر§n-13075	role		**-8||| %%%%
9	غافل	ADJ	MOS	10	غافل§a-599	مشخصه§n-12756	role_state	Arg2		5||| %%%%
10	کرد	V	ROOT	0	null	null	junk		||| %%%%

1	اما	CONJ	VCONJ	8	null	null	junk	ArgM_DIS		||| %%%%
2	بعداز	PREP	ADVRB	8	null	null	no	ArgM_TMP		tim||| %%%%
3	مدتي	N	POSDEP	2	مدت§n-12613	دوره_زماني§n-12603	time		||| %%%%
4	طولاني	ADJ	NPOSTMOD	3	طويل§a-42	مشخصه§n-12756	no		||| %%%%
5	به	PREP	VPP	8	null	null	junk	Arg3		||| %%%%
6	منشي	N	VPP	8	منشي§n-12055	نفر§n-13075	role	Arg3		||| %%%%
7	خود	PR	MOZ	6	سلطان§n-13386	نفر§n-13075	role		5-||| %%%%
8	گفت	V	ROOT	0	گفتن§v-9244	رخداد§n-13136	role_action		5-||| %%%%
9	که	SUBR	VCL	8	null	null	junk	Arg1		||| %%%%
10	ماموريت	N	OBJ	15	ماموريت§n-13144	رخداد§n-13136	role_intent	Arg1		6||| %%%%
11	ت	PR	MOZ	10	منشي§n-12055	نفر§n-13075	role		6||| %%%%
12	را	POSTP	OBJ	15	null	null	junk	Arg1		||| %%%%
13	چگونه	UNKNOWN	ADVRB	15	null	null	junk	ArgM_MNR		||| %%%%
14	انجام	N	NVE	15	null	null	junk		||| %%%%
15	دادي	V	PRD	9	null	null	junk		||| %%%%
16	?	PUNC	PUNC	8	null	null	junk		||| %%%%
roles= [
	[2	پسر	N	MOZ	1	پسر§n-13367	نفر§n-13075	role		||| %%%%]
	[5	شاه	N	OBJ	10	سلطان§n-13386	نفر§n-13075	role	Arg1		||| %%%%]
	[8	او	PR	POSDEP	7	منشي§n-12055	نفر§n-13075	role		**-8||| %%%%]
	[6	منشي	N	VPP	8	منشي§n-12055	نفر§n-13075	role	Arg3		||| %%%%]
	[7	خود	PR	MOZ	6	سلطان§n-13386	نفر§n-13075	role		5-||| %%%%]
	[11	ت	PR	MOZ	10	منشي§n-12055	نفر§n-13075	role		6||| %%%%]]
DynamicObjects= []
StaticObjects= []
location= []
alternativeLocations= []
time= []
alternativeTimes= [
	[4	مدتي	N	ADVRB	10	مدت§n-12613	دوره_زماني§n-12603	time	ArgM_EXT		||| %%%%]
			[3	مدتي	N	POSDEP	2	مدت§n-12613	دوره_زماني§n-12603	time		||| %%%%]]
scene_goals= []
scene_emotions= []
role_actions= [
	[8	گفت	V	ROOT	0	گفتن§v-9244	رخداد§n-13136	role_action		5-||| %%%%]]
role_states= [
	[1	مرگ	N	SBJ	10	درگذشت§n-11584	رخداد§n-13136	role_state	Arg0		2||| %%%%]
	[9	غافل	ADJ	MOS	10	غافل§a-599	مشخصه§n-12756	role_state	Arg2		5||| %%%%]]
role_intents= [
	[10	ماموريت	N	OBJ	15	ماموريت§n-13144	رخداد§n-13136	role_intent	Arg1		6||| %%%%]]
role_emotions= []
dynamic_object_actions= []
dynamic_object_states= []
static_object_states= []

newScene13*************************************

1	سپس	SUBR	ROOT	0	null	null	junk	ArgM_DIS		tim||| %%%%
2	الياس	N	SBJ	7	حضرت الياس§n-23959	نفر§n-13075	role	Arg0	Arg0	Arg1		||| %%%%
3	مخفيانه	ADV	ADVRB	7	يواشکي§r-15307	مشخصه§n-12756	role_state	ArgM_MNR		2||| %%%%
4	از	PREP	VPP	7	null	null	junk	Arg3		||| %%%%
5	کوه	N	VPP	7	کوه§n-13301	شيء§n-12703	location	Arg3		loc||| %%%%
6	پايين	N	ADVC	7	پا§n-11896	هست§n-12706	location	Arg4		||| %%%%
7	آمد	V	PREDEP	8	آمدن§v-7847	رخداد§n-13136	role_action		2||| %%%%
roles= [
	[2	الياس	N	SBJ	7	حضرت الياس§n-23959	نفر§n-13075	role	Arg0	Arg0	Arg1		||| %%%%]]
DynamicObjects= []
StaticObjects= []
location= []
alternativeLocations= [
	[5	کوه	N	VPP	7	کوه§n-13301	شيء§n-12703	location	Arg3		loc||| %%%%]
	[6	پايين	N	ADVC	7	پا§n-11896	هست§n-12706	location	Arg4		||| %%%%]]
time= []
alternativeTimes= []
scene_goals= []
scene_emotions= []
role_actions= [
	[7	آمد	V	PREDEP	8	آمدن§v-7847	رخداد§n-13136	role_action		2||| %%%%]]
role_states= [
	[3	مخفيانه	ADV	ADVRB	7	يواشکي§r-15307	مشخصه§n-12756	role_state	ArgM_MNR		2||| %%%%]]
role_intents= []
role_emotions= []
dynamic_object_actions= []
dynamic_object_states= []
static_object_states= []

newScene14*************************************

8	و	CONJ	VCONJ	14	null	null	junk		||| %%%%
9	به	PREP	VPP	14	null	null	junk	Arg4		||| %%%%
10	خانه	N	VPP	14	سرا§n-12809	جا§n-12733	location	Arg4		loc||| %%%%
11	مادر	N	MOZ	10	مامان§n-13374	نفر§n-13075	role		||| %%%%
12	حضرت	N	MOZ	11	null	null	role_state		13||| %%%%
13	يونس	N	MOZ	12	يونس§n-23943	نفر§n-13075	role		||| %%%%
14	رفت	V	PREDEP	15	پوييدن§v-7700	رخداد§n-13136	role_action		*2-||| %%%%
15	و	CONJ	VCONJ	21	null	null	junk		||| %%%%
16	شش	NUM	NPREMOD	17	null	null	junk		tim||| %%%%
17	ماه	N	ADVRB	21	ماه§n-12657	اندازه§n-12768	time	ArgM_EXT		||| %%%%
18	در	PREP	AJPP	20	null	null	junk		||| %%%%
19	آنجا	PR	POSDEP	18	سرا§n-12809	جا§n-12733	location		10||| %%%%
20	مخفي	ADJ	MOS	21	ناپيدا§a-1012	مشخصه§n-12756	role_state	Arg2		*-2||| %%%%
21	شد	V	PRD	1	قایم شدن§v-9431	رخداد§n-13136	role_action		*-2||| %%%%
roles= [
	[11	مادر	N	MOZ	10	مامان§n-13374	نفر§n-13075	role		||| %%%%]
	[13	يونس	N	MOZ	12	يونس§n-23943	نفر§n-13075	role		||| %%%%]]
DynamicObjects= []
StaticObjects= []
location= []
alternativeLocations= [
	[10	خانه	N	VPP	14	سرا§n-12809	جا§n-12733	location	Arg4		loc||| %%%%]
	[19	آنجا	PR	POSDEP	18	سرا§n-12809	جا§n-12733	location		10||| %%%%]]
time= []
alternativeTimes= [
	[17	ماه	N	ADVRB	21	ماه§n-12657	اندازه§n-12768	time	ArgM_EXT		||| %%%%]]
scene_goals= []
scene_emotions= []
role_actions= [
	[14	رفت	V	PREDEP	15	پوييدن§v-7700	رخداد§n-13136	role_action		*2-||| %%%%]
	[21	شد	V	PRD	1	قایم شدن§v-9431	رخداد§n-13136	role_action		*-2||| %%%%]]
role_states= [
	[12	حضرت	N	MOZ	11	null	null	role_state		13||| %%%%]
	[20	مخفي	ADJ	MOS	21	ناپيدا§a-1012	مشخصه§n-12756	role_state	Arg2		*-2||| %%%%]]
role_intents= []
role_emotions= []
dynamic_object_actions= []
dynamic_object_states= []
static_object_states= []

newScene15*************************************

1	و	CONJ	VCONJ	7	null	null	junk	ArgM_DIS		||| %%%%
2	پس‌از	PREP	ADVRB	7	null	null	no	ArgM_TMP		tim||| %%%%
3	آن	PR	POSDEP	2	null	null	junk		*-16||| %%%%
4	مجددا	ADV	ADVRB	7	null	null	junk	ArgM_ADV		||| %%%%
5	به	PREP	VPP	7	null	null	junk	Arg3		||| %%%%
6	کوه	N	VPP	7	کوه§n-13301	شيء§n-12703	location	Arg3		loc||| %%%%
7	بازگشت	V	ROOT	0	برگشتن§v-8032	رخداد§n-13136	role_action		**-2||| %%%%
8	.	PUNC	PUNC	7	null	null	junk		||| %%%%

1	و	CONJ	VCONJ	5	null	null	junk	ArgM_DIS		||| %%%%
2	در	PREP	MOS	5	null	null	junk	Arg2		tim||| %%%%
3	اين	ADJ	NPREMOD	4	null	null	junk		||| %%%%
4	زمان	N	MOS	5	زمان§n-12679	اندازه§n-12768	time	Arg2		||| %%%%
5	بود	V	ROOT	0	null	null	junk		||| %%%%
6	که	SUBR	VCL	5	null	null	junk	Arg1		||| %%%%
7	خداوند	N	SBJ	10	باري تعالي§n-11940	خصوصيت_رواني§n-12725	no	Arg0		||| %%%%
8	به	PREP	VPP	10	null	null	junk	Arg3		||| %%%%
9	او	PR	POSDEP	8	حضرت الياس§n-23959	نفر§n-13075	role		**-2||| %%%%
10	گفت	V	PRD	6	گفتن§v-9244	رخداد§n-13136	no		||| %%%%
11	که	SUBR	VCL	10	null	null	junk	Arg1		||| %%%%
12	هر	ADJ	NPREMOD	13	null	null	junk		||| %%%%
13	درخواستي	N	OBJ	18	خواهش§n-13129	خبر§n-12766	role_intent	Arg1	Arg1		9||| %%%%
14	از	PREP	VPP	18	null	null	junk	Arg3		||| %%%%
15	من	PR	POSDEP	14	باري تعالي§n-11940	خصوصيت_رواني§n-12725	junk		7||| %%%%
16	مي‌خواهي	V	NCL	13	استدعا کردن§v-9400	رخداد§n-13136	no		||| %%%%
17	تقاضا	N	NVE	18	خواهش§n-13129	خبر§n-12766	role_intent		9||| %%%%
18	کن	V	PRD	11	تقاضا داشتن§v-19252	رخداد§n-13136	role_action		9||| %%%%
19	.	PUNC	PUNC	5	null	null	junk		||| %%%%

1	الياس	N	SBJ	6	حضرت الياس§n-23959	نفر§n-13075	role	Arg0		||| %%%%
2	از	PREP	NPP	4	null	null	junk	Arg3		||| %%%%
3	خدا	N	NPP	4	باري تعالي§n-11940	خصوصيت_رواني§n-12725	no	Arg3		||| %%%%
4	تقاضاي	N	NVE	6	خواهش§n-13129	خبر§n-12766	role_intent		1||| %%%%
5	مرگ	N	MOZ	4	درگذشت§n-11584	رخداد§n-13136	role_intent	Arg1		1||| %%%%
6	نمود	V	ROOT	0	خواستن§v-19251	رخداد§n-13136	role_action		1||| %%%%
7	،	PUNC	PUNC	6	null	null	junk		||| %%%%
roles= [
	[9	او	PR	POSDEP	8	حضرت الياس§n-23959	نفر§n-13075	role		**-2||| %%%%]
	[1	الياس	N	SBJ	6	حضرت الياس§n-23959	نفر§n-13075	role	Arg0		||| %%%%]]
DynamicObjects= []
StaticObjects= []
location= []
alternativeLocations= [
	[6	کوه	N	VPP	7	کوه§n-13301	شيء§n-12703	location	Arg3		loc||| %%%%]]
time= []
alternativeTimes= [
	[4	زمان	N	MOS	5	زمان§n-12679	اندازه§n-12768	time	Arg2		||| %%%%]]
scene_goals= []
scene_emotions= []
role_actions= [
	[7	بازگشت	V	ROOT	0	برگشتن§v-8032	رخداد§n-13136	role_action		**-2||| %%%%]
	[18	کن	V	PRD	11	تقاضا داشتن§v-19252	رخداد§n-13136	role_action		9||| %%%%]
	[6	نمود	V	ROOT	0	خواستن§v-19251	رخداد§n-13136	role_action		1||| %%%%]]
role_states= []
role_intents= [
	[13	درخواستي	N	OBJ	18	خواهش§n-13129	خبر§n-12766	role_intent	Arg1	Arg1		9||| %%%%]
	[17	تقاضا	N	NVE	18	خواهش§n-13129	خبر§n-12766	role_intent		9||| %%%%]
	[4	تقاضاي	N	NVE	6	خواهش§n-13129	خبر§n-12766	role_intent		1||| %%%%]
	[5	مرگ	N	MOZ	4	درگذشت§n-11584	رخداد§n-13136	role_intent	Arg1		1||| %%%%]]
role_emotions= []
dynamic_object_actions= []
dynamic_object_states= []
static_object_states= []

newScene16*************************************

1	خداوند	N	SBJ	9	باري تعالي§n-11940	خصوصيت_رواني§n-12725	no	Arg0		||| %%%%
2	3	NUM	NPREMOD	3	null	null	junk		tim||| %%%%
3	سال	N	ADVRB	9	عام§n-12653	دوره_زماني§n-12603	time	ArgM_EXT		||| %%%%
4	قحطي	N	OBJ	9	نايابي§n-19336	مشخصه§n-12756	role_state	Arg1		7||| %%%%
5	را	POSTP	OBJ	9	null	null	junk	Arg1		||| %%%%
6	بر	PREP	AJPP	8	null	null	junk		||| %%%%
7	بني‌اسراييل	N	POSDEP	6	null	null	role		||| %%%%
8	مسلط	ADJ	MOS	9	مستولي§a-719	مشخصه§n-12756	no	Arg2		||| %%%%
9	نمود	V	ROOT	0	سوار کردن§v-8723	رخداد§n-13136	no		||| %%%%
10	.	PUNC	PUNC	9	null	null	junk		||| %%%%
roles= [
	[7	بني‌اسراييل	N	POSDEP	6	null	null	role		||| %%%%]]
DynamicObjects= []
StaticObjects= []
location= []
alternativeLocations= []
time= []
alternativeTimes= [
	[3	سال	N	ADVRB	9	عام§n-12653	دوره_زماني§n-12603	time	ArgM_EXT		||| %%%%]]
scene_goals= []
scene_emotions= []
role_actions= []
role_states= [
	[4	قحطي	N	OBJ	9	نايابي§n-19336	مشخصه§n-12756	role_state	Arg1		7||| %%%%]]
role_intents= []
role_emotions= []
dynamic_object_actions= []
dynamic_object_states= []
static_object_states= []

newScene17*************************************

1	لذا	SUBR	ROOT	0	پس§r-21612	null	no	ArgM_DIS		||| %%%%
2	با	PREP	ADVRB	7	null	null	junk	ArgM_MNR		||| %%%%
3	کمال	ADJ	NPREMOD	4	کامل بودن§n-12482	مشخصه§n-12756	role_state		*-7||| %%%%
4	شرمندگي	N	ADVRB	7	شرم زدگي§n-12473	null	role_state	ArgM_MNR		*-7||| %%%%
5	نزد	PREP	VPP	7	محضر§n-10120	جا§n-12733	location	Arg4		loc||| %%%%
6	او	PR	POSDEP	5	حضرت الياس§n-23959	نفر§n-13075	role		**-1||| %%%%
7	رفته	V	PREDEP	8	پوييدن§v-7700	رخداد§n-13136	role_action		*-7||| %%%%
8	و	CONJ	VCONJ	11	null	null	junk		||| %%%%
9	تقاضاي	N	NVE	11	خواهش§n-13129	خبر§n-12766	role_intent		*-7||| %%%%
10	بخشش	N	MOZ	9	گذشت§n-14958	رخداد§n-13136	role_intent	Arg1		*-7||| %%%%
11	نمودند	V	PRD	1	خواستن§v-19251	رخداد§n-13136	role_action		*-7||| %%%%
12	.	PUNC	PUNC	1	null	null	junk		||| %%%%
roles= [
	[6	او	PR	POSDEP	5	حضرت الياس§n-23959	نفر§n-13075	role		**-1||| %%%%]]
DynamicObjects= []
StaticObjects= []
location= []
alternativeLocations= [
	[5	نزد	PREP	VPP	7	محضر§n-10120	جا§n-12733	location	Arg4		loc||| %%%%]]
time= []
alternativeTimes= []
scene_goals= []
scene_emotions= []
role_actions= [
	[7	رفته	V	PREDEP	8	پوييدن§v-7700	رخداد§n-13136	role_action		*-7||| %%%%]
	[11	نمودند	V	PRD	1	خواستن§v-19251	رخداد§n-13136	role_action		*-7||| %%%%]]
role_states= [
	[3	کمال	ADJ	NPREMOD	4	کامل بودن§n-12482	مشخصه§n-12756	role_state		*-7||| %%%%]
	[4	شرمندگي	N	ADVRB	7	شرم زدگي§n-12473	null	role_state	ArgM_MNR		*-7||| %%%%]]
role_intents= [
	[9	تقاضاي	N	NVE	11	خواهش§n-13129	خبر§n-12766	role_intent		*-7||| %%%%]
	[10	بخشش	N	MOZ	9	گذشت§n-14958	رخداد§n-13136	role_intent	Arg1		*-7||| %%%%]]
role_emotions= []
dynamic_object_actions= []
dynamic_object_states= []
static_object_states= []

newScene18*************************************

1	الياس	N	SBJ	9	حضرت الياس§n-23959	نفر§n-13075	role	Arg1		||| %%%%
2	به	PREP	ADVRB	9	null	null	junk	ArgM_COM		||| %%%%
3	همراه	N	ADVRB	9	همراه§n-10369	رخداد§n-13136	role_state	ArgM_COM		1||| %%%%
4	اليسع	N	MOZ	3	حضرت اليسع§n-23962	نفر§n-13075	role		||| %%%%
5	جانشين	N	APP	4	جايگزين§a-1588	null	role_state		4||| %%%%
6	خود	PR	MOZ	5	حضرت الياس§n-23959	نفر§n-13075	role		1||| %%%%
7	وارد	ADJ	MOS	9	null	null	role_state	Arg2		1||| %%%%
8	بعلبک	N	NEZ	7	null	null	location		loc||| %%%%
9	شد	V	ROOT	0	null	null	junk		||| %%%%
10	وسپس	SUBR	AJUCL	9	null	null	no	ArgM_TMP	ArgM_ADV		tim||| %%%%
11	گفتگويي	N	SBJ	17	گفتگو§n-11493	رخداد§n-13136	role_state	Arg1		1||| %%%%
12	بين	PREP	NPP	11	null	null	junk		||| %%%%
13	او	PR	POSDEP	12	حضرت الياس§n-23959	نفر§n-13075	role		1||| %%%%
14	و	CONJ	NCONJ	13	null	null	junk		||| %%%%
15	شاه	N	NCONJ	13	سلطان§n-13386	نفر§n-13075	role		||| %%%%
16	انجام	N	NVE	17	null	null	junk		||| %%%%
17	گرفت	V	PRD	10	null	null	junk		||| %%%%
18	،	PUNC	PUNC	9	null	null	junk		||| %%%%

1	و	CONJ	VCONJ	7	null	null	junk	ArgM_DIS		||| %%%%
2	در	PREP	ADVRB	7	null	null	junk	ArgM_TMP		tim||| %%%%
3	نهايت	N	ADVRB	7	نهايت§n-12517	مشخصه§n-12756	no	ArgM_TMP		||| %%%%
4	شاه	N	SBJ	7	سلطان§n-13386	نفر§n-13075	role	Arg0		||| %%%%
5	از	PREP	VPP	7	null	null	junk	Arg3		||| %%%%
6	او	PR	POSDEP	5	حضرت الياس§n-23959	نفر§n-13075	role	Arg0		1-||| %%%%
7	خواست	V	ROOT	0	خواستن§v-19251	رخداد§n-13136	role_action		4||| %%%%
8	تا	SUBR	VCL	7	null	null	junk	Arg1		||| %%%%
9	دعا	N	NVE	10	مناجات§n-11513	خبر§n-12766	role_state		6||| %%%%
10	کند	V	PRD	8	دعا نمودن§v-18655	رخداد§n-13136	no		||| %%%%
11	آب	N	SBJ	14	آب§n-12570	ماده§n-14032	dynamic_object	Arg0		||| %%%%
12	بار	N	ADVRB	14	null	null	junk	ArgM_EXT		||| %%%%
13	ديگر	ADJ	NPOSTMOD	12	null	null	junk		||| %%%%
